prefix,빈도 기반_예측,빈도 기반_신뢰도(%),가중치 기반_예측,가중치 기반_신뢰도(%),시뮬레이션 승률(%)
bpbpbpbbbp,p,50.4,p,56.56,-
bppbbbpbbb,p,50.4,p,64.91,-
pbbpbpbbbp,b,50.4,p,72.43,-
bpbbbpbbbp,b,50.39,p,60.32,100.0
bpbppbbbpb,b,50.38,p,64.88,-
bpbbbbppbb,b,50,p,75,100.0
bpbbpbpbbp,b,50,p,50.21,0.0
bpbpbppbbp,b,50,p,82.17,-
bppbbbppbp,b,50,b,62.31,-
bppbpbbbbb,p,50,p,95.9,-
bpppbppppp,b,50,p,51.23,0.0
pbbbbpbppp,p,50,b,63.99,-
pbbppbpbpb,b,50,p,69.97,50.0
pbpbbbpbbb,p,50,b,62.54,-
pbpbbbpbbp,p,50,p,52.13,-
pbpbbppbbp,p,50,b,59.05,-
pbpbpbbppp,p,50,p,58.83,100.0
pbppppbbpp,p,50,p,71.71,0.0
