run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3509,12,9,pbppbpbb,51.14942528735632,p,b,0,45.45454545454545
3fed7a4f-5725-4e59-abf0-008858c12588,3509,14,9,pbpbbbbb,50.94664371772806,b,p,0,55.0
3fed7a4f-5725-4e59-abf0-008858c12588,3509,15,9,bpbbbbbp,52.35507246376812,p,b,0,47.82608695652174
3fed7a4f-5725-4e59-abf0-008858c12588,3509,16,9,pbbbbbpb,50.75757575757576,b,p,0,54.83870967741935
3fed7a4f-5725-4e59-abf0-008858c12588,3509,17,9,bpbpbbbp,51.35135135135135,b,b,1,53.84615384615385
3fed7a4f-5725-4e59-abf0-008858c12588,3509,19,9,bpbbbpbp,51.048951048951054,b,b,1,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3509,20,9,pbbbpbpb,51.99306759098788,p,p,1,53.7037037037037
3fed7a4f-5725-4e59-abf0-008858c12588,3509,21,9,bpbpbpbp,50.47438330170778,p,b,0,48.38709677419355
3fed7a4f-5725-4e59-abf0-008858c12588,3509,23,9,bpbpbpbp,50.47438330170778,p,p,1,48.38709677419355
3fed7a4f-5725-4e59-abf0-008858c12588,3509,24,9,pbpbpbpp,52.293577981651374,b,b,1,53.57142857142857
3fed7a4f-5725-4e59-abf0-008858c12588,3509,25,9,bpbpbppb,57.52212389380531,b,b,1,43.333333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3509,26,9,pbpbppbb,50.68027210884354,p,p,1,47.61904761904762
3fed7a4f-5725-4e59-abf0-008858c12588,3509,27,9,bpbppbbp,51.865008880994665,b,b,1,48.38709677419355
3fed7a4f-5725-4e59-abf0-008858c12588,3509,28,9,pbppbbpb,52.33968804159446,p,p,1,45.833333333333336
